0.000 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.010 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.020 2 1 0 4 2 2 4 5 1 7 3 8 1 5 4 7 8 11 10 6 10 9 9 13 10 12 7 12 8 12 12 17 13 15 13 13 17 10 16 15 14 18 16 15 21 13 19 24 20 15 20 25 25 16 15 20 22 8 11 12 18 14 17 9 9 18 15 14 8 9 9 6 18 13 10 8 7 11 10 12 4 6 5 6 6 11 5 6 9 5 4 6 3 1 3 2 0 0 0 
0.030 0 0 0 1 0 0 0 2 2 2 1 3 4 1 6 6 3 8 8 3 8 6 13 10 11 3 11 10 12 15 13 19 18 13 17 22 17 10 19 17 15 20 23 24 9 28 22 22 23 21 20 21 25 38 28 16 25 15 17 14 23 14 17 22 19 15 20 13 14 6 11 7 4 4 3 14 8 4 4 6 2 4 4 8 1 4 1 3 1 2 1 0 0 0 0 1 0 0 0 
0.040 0 0 0 0 0 0 0 0 0 0 0 1 1 0 3 2 2 1 4 6 4 5 4 6 5 6 6 9 10 17 14 10 16 8 14 19 18 17 27 21 27 12 26 28 23 26 16 27 26 25 26 30 33 31 28 28 27 23 19 22 17 17 23 13 21 17 15 17 16 14 9 5 12 6 3 5 7 2 2 5 2 0 2 1 2 1 2 3 1 1 0 0 0 0 0 0 0 0 0 
0.050 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 2 1 1 2 3 6 7 5 3 9 5 5 10 10 9 14 15 16 18 21 18 34 36 22 28 27 26 24 31 29 33 26 30 30 35 31 28 20 24 28 36 18 25 19 19 18 21 12 9 15 9 16 7 6 8 7 4 2 3 2 1 4 0 5 4 0 1 2 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 
0.060 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 1 1 2 2 1 2 6 2 7 5 10 9 6 11 7 20 16 17 25 22 20 19 24 30 17 24 32 37 28 40 23 32 37 30 39 37 34 22 35 28 32 17 21 28 17 17 11 11 17 8 13 10 2 6 5 4 4 1 1 1 2 2 2 2 0 0 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.070 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 3 1 4 3 6 3 5 9 6 7 9 10 15 23 10 19 30 19 19 22 30 33 31 32 30 48 38 26 34 29 28 36 33 33 30 31 30 21 31 17 16 19 15 17 11 15 7 18 8 8 2 5 3 3 1 1 0 0 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.080 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 3 3 4 9 7 9 7 10 11 10 10 13 22 28 17 17 31 27 47 33 41 32 35 28 44 45 31 45 37 22 38 28 31 26 25 26 26 15 19 19 14 9 7 7 5 4 3 3 3 0 2 2 2 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.090 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 2 0 3 6 7 16 11 17 20 13 15 15 30 25 28 24 38 37 40 28 29 36 48 41 43 48 31 41 31 34 24 36 25 20 26 22 19 15 13 9 2 3 4 7 1 4 3 1 0 0 2 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
